cond1,cond2
0,196.0414718
6.881279998,202.9227518
13.934592,209.9760638
20.98790399,217.0293758
33.54623999,229.7597438
40.59955199,236.8130558
47.65286399,243.8663678
54.70617598,250.7476478
67.26451198,263.4780158
74.31782398,270.5313278
81.37113598,277.5846398
88.42444797,284.6379518
101.154816,297.3683198
108.036096,304.2495998
115.089408,311.3029118
122.14272,318.3562238
